id,name,teamName,locationName,shortName,division,league,primary,display_code,twitterHandle,hashtags,secondary
133,Oakland Athletics,Athletics,"Oakland, CA",Oakland,West,American,#003831,OAK,Athletics,RootedInOakland DrumTogether Athletics As,#EFB21E
134,Pittsburgh Pirates,Pirates,"Pittsburgh, PA",Pittsburgh,Central,National,#27251F,PIT,Pirates,RaiseIt LetsGoBucs Pirates,#FDB827
135,San Diego Padres,Padres,"San Diego, CA",San Diego,West,National,#2F241D,SD,Padres,TimeToShine Padres,#FFC425
136,Seattle Mariners,Mariners,"Seattle, WA",Seattle,West,American,#0C2C56,SEA,Mariners,SeaUsRise Mariners,#005C5C
137,San Francisco Giants,Giants,"San Francisco, CA",San Francisco,West,National,#FD5A1E,SF,SFGiants,SFGiants SFG,#27251F
138,St. Louis Cardinals,Cardinals,"St. Louis, MO",St. Louis,Central,National,#C41E3A,STL,Cardinals,STLCards Cardinals,#0C2340
139,Tampa Bay Rays,Rays,"St. Petersburg, FL",Tampa Bay,East,American,#092C5C,TB,RaysBaseball,RaysUp Rays,#8FBCE6
140,Texas Rangers,Rangers,"Arlington, TX",Texas,West,American,#003278,TEX,Rangers,StraightUpTX Rangers,#C0111F
141,Toronto Blue Jays,Blue Jays,"Toronto, Canada",Toronto,East,American,#134A8E,TOR,BlueJays,NextLevel BlueJays,#E8291C
142,Minnesota Twins,Twins,"Minneapolis, MN",Minnesota,Central,American,#002B5C,MIN,Twins,MNTwins,#D31145
143,Philadelphia Phillies,Phillies,"Philadelphia, PA",Philadelphia,East,National,#E81828,PHI,Phillies,RingTheBell Phillies,#002D72
144,Atlanta Braves,Braves,"Atlanta, GA",Atlanta,East,National,#13274F,ATL,Braves,ForTheA Braves,#A12531
145,Chicago White Sox,White Sox,"Chicago, IL",Chi White Sox,Central,American,#000000,CWS,whitesox,ChangeTheGame WhiteSox,#555555
146,Miami Marlins,Marlins,"Miami, FL",Miami,East,National,#00A3E0,MIA,Marlins,MakeItMiami Marlins,#EF3340
147,New York Yankees,Yankees,"Bronx, NY",NY Yankees,East,American,#0C2340,NYY,Yankees,RepBX Yankees NYY BronxBombers,#999999
158,Milwaukee Brewers,Brewers,"Milwaukee, WI",Milwaukee,Central,National,#12284B,MIL,Brewers,ThisIsMyCrew BrewCrew Brewers,#FFC52F
108,Los Angeles Angels,Angels,"Anaheim, CA",LA Angels,West,American,#BA0021,LAA,Angels,GoHalos Angels,#C4C4C4
109,Arizona Diamondbacks,D-backs,"Phoenix, AZ",Arizona,West,National,#A71930,ARI,Dbacks,Dbacks,#C6B790
110,Baltimore Orioles,Orioles,"Baltimore, MD",Baltimore,East,American,#DF4601,BAL,Orioles,Birdland Orioles,#000000
111,Boston Red Sox,Red Sox,"Boston, MA",Boston,East,American,#ba313c,BOS,RedSox,DirtyWater RedSox,#0C2340
112,Chicago Cubs,Cubs,"Chicago, IL",Chi Cubs,Central,National,#0E3386,CHC,Cubs,Cubs Cubbies,#CC3433
113,Cincinnati Reds,Reds,"Cincinnati, OH",Cincinnati,Central,National,#C6011F,CIN,REDS,ATOBTTR Reds,#000000
114,Cleveland Guardians,Guardians,"Cleveland, OH",Cleveland,Central,American,#00385D,CLE,CleGuardians,ForTheLand Guardians,#E50022
115,Colorado Rockies,Rockies,"Denver, CO",Colorado,West,National,#333366,COL,Rockies,Rockies,#777777
116,Detroit Tigers,Tigers,"Detroit, MI",Detroit,Central,American,#0C2340,DET,tigers,DetroitRoots Tigers,#FA4616
117,Houston Astros,Astros,"Houston, TX",Houston,West,American,#002D62,HOU,astros,LevelUp Astros,#EB6E1F
118,Kansas City Royals,Royals,"Kansas City, MO",Kansas City,Central,American,#004687,KC,Royals,RoyalsAssist Royals,#BD9B60
119,Los Angeles Dodgers,Dodgers,"Los Angeles, CA",LA Dodgers,West,National,#215580,LAD,Dodgers,Dodgers LAD,#A5ACAF
120,Washington Nationals,Nationals,"Washington, DC",Washington,East,National,#AB0003,WSH,Nationals,NATITUDE Nationals,#14225A
121,New York Mets,Mets,"Queens, NY",NY Mets,East,National,#002D72,NYM,Mets,LGM NYM Mets,#FF5910
